Image Filename,coordinates,Term,Encoded-Term
Image_1279.jpg,"133,72,271,378,",Harp (3285),42
Image_3059.jpg,"936,1795,1593,2448,",Violin (3573),99
Image_5510.png,"629,352,663,367,",Side drum (2729),75
Image_4675.jpeg,"646,1128,775,1195,",Cornett (3868),19
Image_2982.jpg,"241,681,381,1012,",End-blown horn  (5177),32
Image_319.jpg,"504,307,654,545,",Duct flute (3932),28
Image_4495.png,"38,587,77,670,",Trumpet  (4446),89
Image_2210.jpeg,"150,263,188,358,",Transverse flute (4093),85
Image_3493.JPEG,"855,549,919,730,",Guitar (3237),40
Image_3585.jpg,"1713,1089,2334,1694,",Violoncello (3582),100
Image_1947.jpg,"975,1105,1123,1380,",Shawm (4258),74
Image_5171.png,"570,451,607,488,",Shawm (4258),74
Image_1119.jpg,"427,230,489,285,",Virginal (2257),102
Image_31.jpg,"1933,872,2835,2742,",Shawm (4258),74
Image_1663.png,"416,145,426,153,",Aulos (4173),1
Image_852.jpeg,"587,877,656,934,",Fife (3945),35
Image_4152.jpeg,"360,285,484,423,",Drum (2585),27
Image_2179.jpg,"2354,1739,2476,1907,",Lute (3394),54
Image_5134.jpg,"565,1467,1100,1769,",Violin (3573),99
Image_220.jpg,"38,353,102,413,",Horn (4118),44
Image_792.jpg,"1153,660,1445,1267,",Lute (3394),54
Image_4262.jpg,"264,2169,684,2830,",Theorbo (3473),84
Image_3994.png,"277,433,348,496,",Tambourine (2746),81
Image_5295.jpg,"369,76,385,98,",Tabor pipe (6689),80
Image_3690.jpg,"551,710,1850,1599,",Cittern (3106),13
Image_608.jpg,"217,1280,1733,2467,",Harp (3285),42
Image_2920.jpg,"691,639,1161,862,",Shawm (4258),74
Image_3934.jpg,"303,494,303,494,",Bagpipe (3746),2
Image_3706.jpg,"-58,-41,-58,-41,",Keyboard instruments (2230),49
Image_1762.jpg,"2532,1773,3013,1971,",Horn (4118),44
Image_4999.jpg,"1448,1306,1537,1521,",Violin (3573),99
Image_3468.jpg,"2126,1675,2389,1908,",Organ (2266),62
Image_5510.png,"197,528,228,560,",Tabor pipe (6689),80
Image_3934.jpg,"546,452,546,452,",Violoncello (3582),100
Image_1790.jpg,"625,3441,870,3878,",Harp (3285),42
Image_5266.jpg,"1433,2910,1523,3086,",Flute (3955),36
Image_1545.jpg,"1620,2371,1880,2447,",Rebec  (3202),71
Image_2681.jpg,"1890,1008,2490,1269,",Positive organ (2268),69
Image_3578.jpeg,"217,492,229,509,",Harp (3285),42
Image_5340.jpeg,"42,241,97,310,",Syrinx (4084),79
Image_176.png,"637,553,691,604,",Violin (3573),99
Image_4675.jpeg,"616,158,730,310,",Triangle (3005),87
Image_2066.jpg,"612,397,652,448,",Tambourine (2746),81
Image_5429.jpg,"486,1850,810,2097,",Harp (3285),42
Image_1036.jpg,"1698,1600,2979,2212,",Vihuela  (3252),94
Image_3702.jpg,"-4,4092,319,4418,",Kettledrum (2887),48
Image_3493.JPEG,"674,324,782,427,",Lute (3394),54
Image_3027.png,"521,311,578,451,",Kithara (4940),51
Image_2354.jpg,"3092,1917,3236,2022,",Side drum (2729),75
Image_5126.jpg,"717,82,889,622,",Harp (3285),42
Image_220.jpg,"93,198,145,269,",Trumpet marine (3519),90
Image_4005.jpg,"121,355,149,381,",Tanbur (3466),82
Image_942.jpg,"1885,1348,2353,1852,",Fiddle (3142),34
Image_590.jpg,"858,1698,1304,1976,",Rebec  (3202),71
Image_952.png,"457,224,489,246,",Mandolin (3510),56
Image_4705.jpeg,"722,282,857,524,",Violoncello (3582),100
Image_5745.jpg,"832,1874,1044,2077,",Fiddle (3142),34
Image_3565.jpeg,"554,1126,640,1183,",Sackbut  (4364),73
Image_3903.jpg,"102,1309,360,1574,",Hurdy-gurdy (3305),46
Image_2651.jpg,"1901,1652,2586,2136,",End-blown trumpet (6556),33
Image_5068.jpeg,"232,326,893,493,",Lyre (3501),55
Image_660.jpg,"1627,288,2348,1237,",Fiddle (3142),34
Image_3715.jpg,"474,65,524,94,",Violoncello (3582),100
Image_3578.jpeg,"348,473,405,554,",Trumpet  (4446),89
Image_608.jpg,"459,2401,582,2554,",Shawm (4258),74
Image_1323.jpg,"710,1765,1381,2851,",Organ (2266),62
Image_4503.jpeg,"73,200,122,280,",Jingle (2873),47
Image_3565.jpeg,"741,1637,868,1698,",Harpsichord (2251),43
Image_2441.jpg,"725,1694,447,2112,",Bagpipe (3746),2
Image_3653.jpg,"17,349,81,418,",Lute (3394),54
Image_3565.jpeg,"2735,482,2897,604,",Violin (3573),99
Image_4798.jpg,"843,1211,1052,1365,",Fiddle (3142),34
Image_334.jpg,"393,227,420,259,",Violin (3573),99
Image_1511.jpeg,"80,3,158,40,",Violin (3573),99
Image_5046.jpg,"452,1996,1098,2474,",Violin (3573),99
Image_985.jpg,"614,499,724,563,",Tambourine (2746),81
Image_3493.JPEG,"816,535,954,733,",Harp (3285),42
Image_3934.jpg,"192,653,220,685,",Lute (3394),54
Image_1018.jpg,"619,478,1977,1316,",Rebec  (3202),71
Image_3383.jpg,"100,64,193,140,",Trumpet  (4446),89
Image_2753.jpg,"575,121,634,204,",Kithara (4940),51
Image_4555.jpg,"681,1024,948,1854,",Lute (3394),54
Image_1268.jpg,"1049,1224,1194,1280,",Rebec  (3202),71
Image_3383.jpg,"241,106,259,255,",Trombone (4369),88
Image_307.jpg,"-7,771,635,1104,",Lute (3394),54
Image_5123.jpg,"1439,928,1749,875,",Harp (3285),42
Image_2418.jpg,"107,331,107,331,",Harp (3285),42
Image_4758.jpg,"688,341,1370,1132,",Lute (3394),54
Image_4696.jpg,"221,408,237,456,",Lute (3394),54
Image_5491.jpg,"1156,486,1311,586,",Portative organ (2267),68
Image_5151.jpeg,"216,259,376,413,",Bass drum  (2506),6
Image_3565.jpeg,"1601,468,2055,776,",Trumpet  (4446),89
Image_5498.jpg,"251,2471,857,2665,",Lute (3394),54
Image_3585.jpg,"-21,56,548,867,",Violoncello (3582),100
Image_4696.jpg,"198,314,227,470,",Recorder (4039),72
Image_1589.jpg,"667,307,1939,1272,",Lute (3394),54
Image_4310.jpg,"650,1444,706,1478,",Lute (3394),54
Image_334.jpg,"114,141,140,200,",Violin (3573),99
Image_1932.jpg,"239,357,540,925,",Fiddle (3142),34
Image_1505.jpg,"2956,1090,3387,1619,",Rebec  (3202),71
Image_779.jpg,"685,395,1201,1320,",Harp (3285),42
Image_3556.jpeg,"192,1,329,119,",Viola da gamba (3604),98
Image_2404.jpg,"2222,1050,2273,1089,",Violin (3573),99
Image_4798.jpg,"4462,480,4706,684,",Fiddle (3142),34
Image_1545.jpg,"1298,1756,1514,1942,",Fiddle (3142),34
Image_5384.jpeg,"765,670,927,796,",Valve horn (4133),93
Image_2265.jpg,"2524,1236,2816,1478,",Lyre (3501),55
Image_4417.png,"445,219,553,262,",End-blown trumpet (6556),33
Image_5453.jpg,"402,124,426,148,",Lute (3394),54
Image_1832.jpg,"2067,831,2349,1168,",Tabor pipe (6689),80
Image_3565.jpeg,"601,215,715,283,",Kit (3571),50
Image_2643.jpg,"825,2353,969,2416,",Sackbut  (4364),73
Image_2055.jpeg,"227,568,712,790,",Mandolin (3510),56
Image_2776.jpeg,"303,126,491,195,",Violin (3573),99
Image_5484.jpg,"289,619,457,847,",Portative organ (2267),68
Image_4602.jpg,"307,3174,477,3590,",Rebec  (3202),71
Image_2881.jpg,"4085,2929,4817,3359,",Lute (3394),54
Image_2707.jpg,"283,1278,1579,2254,",Hurdy-gurdy (3305),46
Image_2077.jpg,"2395,809,2485,890,",Violoncello (3582),100
Image_3578.jpeg,"509,500,536,539,",Horn (4118),44
Image_3493.JPEG,"161,754,357,916,",Treble viol  (3594),86
Image_3811.jpg,"832,1015,952,1318,",End-blown trumpet (6556),33
Image_3809.jpg,"1059,1687,1135,1748,",Portative organ (2267),68
Image_4696.jpg,"197,352,284,456,",Shawm (4258),74
Image_3619.jpg,"74,1283,561,1725,",Fiddle (3142),34
Image_336.jpg,"366,477,496,558,",Fiddle (3142),34
Image_3383.jpg,"455,106,473,153,",Trumpet  (4446),89
Image_4530.jpg,"799,1676,909,1844,",Wind instruments (3730),104
Image_3578.jpeg,"458,542,494,568,",Trumpet  (4446),89
Image_789.jpg,"167,243,241,433,",Trumpet  (4446),89
Image_2404.jpg,"2371,1102,2424,1148,",Kettledrum (2887),48
Image_4140.jpg,"1716,271,2557,1712,",Lute (3394),54
Image_1790.jpg,"2383,3610,2659,3775,",Fiddle (3142),34
Image_766.jpg,"2950,366,3733,836,",Fiddle (3142),34
Image_1355.jpeg,"414,295,572,693,",Portative organ (2267),68
Image_4041.jpg,"438,1323,491,1359,",Zither (3729),105
Image_220.jpg,"242,243,318,346,",Horn (4118),44
Image_5477.png,"554,79,656,154,",Kettledrum (2887),48
Image_3625.jpg,"1299,451,1935,1175,",Lute (3394),54
Image_3934.jpg,"320,333,356,348,",Bagpipe (3746),2
Image_4661.jpg,"735,2835,1124,3405,",Psaltery (3677),70
Image_5641.jpeg,"18,196,87,291,",Organ (2266),62
Image_421.jpg,"83,203,104,261,",Side drum (2729),75
Image_4341.jpg,"443,1396,620,1567,",Shawm (4258),74
Image_5444.jpg,"230,463,285,517,",Lyre (3501),55
Image_4714.jpg,"389,980,461,1036,",Lute (3394),54
Image_2643.jpg,"651,2369,743,2405,",Harp (3285),42
Image_3493.JPEG,"816,535,954,733,",Portative organ (2267),68
Image_4507.jpg,"3337,955,3775,1138,",End-blown trumpet (6556),33
Image_3674.jpg,"540,993,630,1074,",Horn (4118),44
Image_1554.jpg,"704,253,1606,1741,",Positive organ (2268),69
Image_4620.jpg,"1448,1403,2312,2268,",Lute (3394),54
Image_3493.JPEG,"93,886,177,1021,",Wind instruments (3730),104
Image_254.jpeg,"675,467,971,722,",Lute (3394),54
Image_5756.jpg,"333,758,439,793,",Shawm (4258),74
Image_3238.jpg,"3139,1533,3402,1977,",Bagpipe (3746),2
Image_253.jpg,"1370,1488,1815,1806,",Side drum (2729),75
Image_2307.jpg,"1552,590,1929,1076,",Bagpipe (3746),2
Image_1449.jpg,"1201,2348,2399,2677,",End-blown trumpet (6556),33
Image_1201.jpg,"339,200,409,312,",Harp (3285),42
Image_1920.jpg,"426,978,720,1180,",Organ (2266),62
Image_5056.jpg,"237,1553,306,1592,",Lute (3394),54
Image_2512.jpeg,"461,341,534,455,",Portative organ (2267),68
Image_5683.jpg,"818,1768,1154,1893,",Lute (3394),54
Image_828.jpg,"2911,580,3132,849,",Portative organ (2267),68
Image_2647.jpg,"1170,1082,1260,1125,",Lute (3394),54
Image_2643.jpg,"651,2369,743,2405,",Shawm (4258),74
Image_3291.jpeg,"324,116,379,154,",Transverse flute (4093),85
Image_4714.jpg,"1640,1407,1735,1464,",Portative organ (2267),68
Image_669.jpeg,"316,168,379,303,",Bagpipe (3746),2
Image_232.jpg,"138,37,1068,1006,",Lute (3394),54
Image_2579.jpg,"2310,546,3488,2801,",Pianoforte (2299),66
Image_5103.jpg,"3067,1913,3156,2017,",Dulcimer (3644),30
Image_1382.jpg,"767,2626,1391,3472,",Organ (2266),62
Image_254.jpeg,"316,365,607,843,",Transverse flute (4093),85
Image_3271.jpg,"561,59,614,122,",Sackbut  (4364),73
Image_3565.jpeg,"499,1136,535,1181,",Kit (3571),50
Image_5408.jpg,"3395,1798,3591,2115,",Lute (3394),54
Image_3323.jpg,"1716,521,2691,2210,",Tambourine (2746),81
Image_5100.jpg,"2295,1638,2551,1930,",Shawm (4258),74
Image_5723.jpeg,"595,935,793,1057,",Fiddle (3142),34
Image_1368.jpg,"0,225,66,282,",Lute (3394),54
Image_4056.jpg,"454,3076,654,3178,",Side drum (2729),75
Image_3781.jpg,"333,51,446,209,",Frame drum (2598),37
Image_5622.jpg,"544,602,670,841,",Shawm (4258),74
Image_220.jpg,"179,291,206,330,",Virginal (2257),102
Image_4675.jpeg,"732,86,889,358,",Harp (3285),42
Image_4167.jpg,"107,2777,373,3388,",Rebec  (3202),71
Image_2333.jpeg,"169,299,400,493,",Transverse flute (4093),85
Image_3934.jpg,"363,479,386,505,",Portative organ (2267),68
Image_3493.JPEG,"209,715,275,965,",Cornett (3868),19
Image_3708.jpg,"349,1198,664,1386,",Fiddle (3142),34
Image_3806.jpg,"102,543,180,608,",Rebec  (3202),71
Image_3407.jpg,"1057,1447,1325,1681,",Cornett (3868),19
Image_5206.jpg,"34,393,164,440,",Mandolin (3510),56
Image_4532.jpg,"494,1783,2127,3835,",Organ (2266),62
Image_282.jpeg,"344,117,444,265,",Flute (3955),36
Image_5056.jpg,"14,408,200,549,",Cylindrical drum (2532),22
Image_1319.jpg,"1825,1738,2131,2331,",Cornett (3868),19
Image_590.jpg,"3823,366,4385,686,",Natural trumpet (4419),59
Image_5084.jpeg,"169,601,507,787,",Cylindrical drum (2532),22
Image_985.jpg,"987,430,1319,449,",Portative organ (2267),68
Image_1885.jpeg,"96,56,318,333,",Viola (3561),96
Image_4310.jpg,"650,1444,706,1478,",Shawm (4258),74
Image_319.jpg,"639,1012,729,1153,",Recorder (4039),72
Image_2140.JPG,"361,1217,625,1646,",Psaltery (3677),70
Image_572.jpg,"2688,1317,3128,2022,",Harp (3285),42
Image_658.jpg,"1147,408,1207,500,",Fiddle (3142),34
Image_3157.jpg,"147,65,247,194,",Horn (4118),44
Image_2943.jpg,"3139,893,3293,1150,",Tabor pipe (6689),80
Image_996.jpg,"2047,781,2468,1710,",Lute (3394),54
Image_3493.JPEG,"457,269,555,352,",Side drum (2729),75
Image_2027.png,"730,433,774,504,",Fiddle (3142),34
Image_2935.jpg,"333,1625,525,1958,",Fiddle (3142),34
Image_4955.jpg,"2576,744,2829,1103,",Harp (3285),42
Image_329.jpg,"2175,2316,2366,2449,",End-blown trumpet (6556),33
Image_1352.jpg,"417,588,733,719,",Portative organ (2267),68
Image_1095.jpg,"1000,2343,1689,3802,",Lute (3394),54
Image_1388.jpg,"1443,2218,1930,3406,",Shawm (4258),74
Image_1556.jpeg,"769,62,889,388,",Sackbut  (4364),73
Image_2980.jpeg,"701,406,721,426,",Tambourine (2746),81
Image_4888.jpeg,"201,301,298,424,",Shawm (4258),74
Image_3565.jpeg,"741,1637,868,1698,",Violin (3573),99
Image_3167.jpg,"1735,1294,2362,2422,",Harp (3285),42
Image_3578.jpeg,"720,508,753,524,",Kettledrum (2887),48
Image_2414.jpg,"2315,2858,2575,3007,",Dulcian (3806),29
Image_3580.jpg,"321,224,440,427,",Rebec  (3202),71
Image_3123.jpg,"3386,179,4000,1546,",Bagpipe (3746),2
Image_985.jpg,"1585,311,1684,385,",Portative organ (2267),68
Image_4675.jpeg,"706,1230,779,1400,",Psaltery (3677),70
Image_2280.jpg,"960,311,1086,367,",Aulos (4173),1
Image_56.jpg,"97,511,457,1224,",Viola da gamba (3604),98
Image_3934.jpg,"546,452,546,452,",Nakers (2893),57
Image_159.jpeg,"880,186,1046,488,",Recorder (4039),72
Image_5163.jpg,"-7,2027,933,2667,",Mandolin (3510),56
Image_668.jpg,"3309,1031,4238,1982,",Shawm (4258),74
Image_41.jpeg,"70,323,254,488,",Viola da gamba (3604),98
Image_421.jpg,"142,140,168,201,",Viola (3561),96
Image_3347.jpg,"922,578,1074,867,",Theorbo (3473),84
Image_3156.png,"694,299,740,348,",Drum (2585),27
Image_2354.jpg,"594,1550,713,1651,",Shawm (4258),74
Image_4887.jpg,"148,247,183,286,",Side drum (2729),75
Image_1436.jpg,"1322,4,4276,1614,",Lute (3394),54
Image_5286.jpg,"179,284,235,322,",Lyre (3501),55
Image_334.jpg,"114,141,140,200,",Banjo  (3226),3
Image_3960.jpg,"2782,1213,2978,1350,",Organistrum (3309),63
Image_2565.jpg,"2445,1370,2554,1424,",Fiddle (3142),34
Image_1704.jpg,"431,2253,593,2369,",Bagpipe (3746),2
Image_5728.jpg,"1962,2383,2066,2613,",Trumpet  (4446),89
Image_220.jpg,"92,173,215,203,",Horn (4118),44
Image_462.jpeg,"128,167,146,208,",Gittern (3365),38
Image_4685.jpg,"1344,2058,1532,2169,",Harp (3285),42
Image_582.jpeg,"62,32,130,90,",Cylindrical drum (2532),22
Image_3584.jpg,"1229,1118,1670,1369,",Horn (4118),44
Image_3493.JPEG,"599,1200,778,1334,",Psaltery (3677),70
Image_2404.jpg,"1595,1105,1650,1157,",Bassoon  (3795),7
Image_5096.jpg,"-50,5,425,564,",Lute (3394),54
Image_1959.jpg,"495,354,631,588,",Horn (4118),44
Image_1493.jpg,"1629,1360,1826,1853,",Fiddle (3142),34
Image_4077.png,"554,621,609,671,",Bagpipe (3746),2
Image_101.png,"367,31,391,39,",End-blown trumpet (6556),33
Image_4813.jpg,"1098,236,1272,337,",Lute (3394),54
Image_233.jpeg,"5,824,185,1028,",Viola d'amore (3608),97
Image_658.jpg,"675,1892,745,2056,",Zither (3729),105
Image_3578.jpeg,"461,478,542,515,",Horn (4118),44
Image_2643.jpg,"1759,2291,1841,2428,",Rebec  (3202),71
Image_828.jpg,"2911,580,3132,849,",Shawm (4258),74
Image_467.jpg,"96,115,376,446,",Lute (3394),54
Image_673.jpg,"1115,177,1490,529,",Conch-shell trumpet (4389),17
Image_8.jpeg,"369,89,433,235,",Harp (3285),42
Image_5723.jpeg,"1098,941,1324,1077,",End-blown trumpet (6556),33
Image_2352.jpg,"626,1117,1168,1762,",Flute (3955),36
Image_485.jpg,"2657,578,2668,827,",Natural horn (4126),58
Image_3990.jpg,"650,723,716,805,",Frame drum (2598),37
Image_145.jpg,"3845,1433,4021,1620,",Fiddle (3142),34
Image_2728.jpg,"96,1299,192,1349,",Lute (3394),54
Image_5093.jpg,"403,2876,642,3018,",Citole (3335),12
Image_5435.jpg,"3077,734,3283,1010,",Frame drum (2598),37
Image_5498.jpg,"2187,2398,1503,2785,",Tabor pipe (6689),80
Image_3681.jpeg,"380,500,421,562,",Tambourine (2746),81
Image_3934.jpg,"134,532,167,550,",Lute (3394),54
Image_182.jpg,"1333,1390,1609,1581,",Lirone (3183),53
Image_3877.jpg,"1266,449,1337,547,",Harp (3285),42
Image_3179.php,"303,301,328,323,",Wind instruments (3730),104
Image_2233.jpg,"266,463,681,992,",Harp (3285),42
Image_5728.jpg,"1047,662,1202,914,",Lyre (3501),55
Image_479.jpg,"796,1737,936,2040,",Shawm (4258),74
Image_5544.jpg,"529,280,608,338,",Transverse flute (4093),85
Image_3159.jpg,"307,63,391,100,",End-blown flute (3940),31
Image_3493.JPEG,"597,1200,788,1343,",Drum (2585),27
Image_1994.jpg,"456,605,723,825,",Lute (3394),54
Image_4417.png,"609,398,727,537,",Harp (3285),42
Image_4290.jpeg,"737,444,866,591,",Bagpipe (3746),2
Image_2512.jpeg,"238,361,317,438,",Portative organ (2267),68
Image_2354.jpg,"2337,2194,2483,2317,",Fiddle (3142),34
Image_3143.jpg,"3057,1024,3056,1764,",End-blown trumpet (6556),33
Image_4714.jpg,"1301,1695,1409,1742,",Lute (3394),54
Image_2143.jpg,"870,158,3171,2151,",Violin (3573),99
Image_258.jpeg,"137,139,700,631,",Violin (3573),99
Image_4760.jpg,"2345,3948,553,3742,",Sackbut  (4364),73
Image_1511.jpeg,"39,30,138,183,",Violoncello (3582),100
Image_2979.jpg,"231,1086,495,1335,",Flute (3955),36
Image_230.jpg,"2187,700,2537,891,",Fiddle (3142),34
Image_1751.jpeg,"344,1378,938,1681,",Lute (3394),54
Image_5258.jpg,"1123,1229,2900,2440,",Fiddle (3142),34
Image_4735.jpg,"1628,3478,1773,3641,",Side drum (2729),75
Image_1200.jpg,"795,1380,971,1925,",Guitar (3237),40
Image_2120.jpg,"399,3468,722,3741,",Hurdy-gurdy (3305),46
