,Image Filename,coordinates,Term
96,Image_800.jpg,"1387,1093,1781,1286,",Horn (4118)
97,Image_5525.jpg,"765,465,992,884,",Violin (3573)
98,Image_5644.jpg,"1260,38,2466,1879,",Harpsichord (2251)
100,Image_3504.jpg,"1611,634,2427,1727,",Pianoforte (2299)
101,Image_5057.jpg,"372,2030,563,2191,",Psaltery (3677)
102,Image_5057.jpg,"372,2030,563,2191,",Lute (3394)
103,Image_5057.jpg,"372,2030,563,2191,",Harp (3285)
104,Image_5057.jpg,"372,2030,563,2191,",Fiddle (3142)
105,Image_5057.jpg,"1757,2113,1989,2219,",Psaltery (3677)
106,Image_5057.jpg,"1757,2113,1989,2219,",Lute (3394)
107,Image_5057.jpg,"1757,2113,1989,2219,",Harp (3285)
108,Image_5057.jpg,"1757,2113,1989,2219,",Fiddle (3142)
109,Image_5057.jpg,"1736,3125,1883,3337,",Psaltery (3677)
110,Image_5057.jpg,"1736,3125,1883,3337,",Lute (3394)
111,Image_5057.jpg,"1736,3125,1883,3337,",Harp (3285)
112,Image_5057.jpg,"1736,3125,1883,3337,",Fiddle (3142)
113,Image_5057.jpg,"479,3158,584,3358,",Psaltery (3677)
114,Image_5057.jpg,"479,3158,584,3358,",Lute (3394)
115,Image_5057.jpg,"479,3158,584,3358,",Harp (3285)
116,Image_5057.jpg,"479,3158,584,3358,",Fiddle (3142)
117,Image_5768.png,"828,590,993,710,",Rebec  (3202)
118,Image_4349.jpg,"1150,363,1944,726,",Violin (3573)
119,Image_4349.jpg,"1150,363,1944,726,",Lute (3394)
120,Image_4349.jpg,"551,611,1907,1598,",Violin (3573)
121,Image_4349.jpg,"551,611,1907,1598,",Lute (3394)
122,Image_3264.png,"219,946,269,987,",Horn (4118)
123,Image_3264.png,"219,946,269,987,",Harp (3285)
124,Image_3264.png,"320,753,396,858,",Horn (4118)
125,Image_3264.png,"320,753,396,858,",Harp (3285)
126,Image_3411.jpg,"1192,2602,1446,2946,",Organ (2266)
127,Image_3411.jpg,"1192,2602,1446,2946,",Cornett (3868)
128,Image_3411.jpg,"1192,2602,1446,2946,",Lute (3394)
129,Image_3411.jpg,"1670,2678,1898,2779,",Organ (2266)
130,Image_3411.jpg,"1670,2678,1898,2779,",Cornett (3868)
131,Image_3411.jpg,"1670,2678,1898,2779,",Lute (3394)
132,Image_3411.jpg,"1165,2451,1426,2684,",Organ (2266)
133,Image_3411.jpg,"1165,2451,1426,2684,",Cornett (3868)
134,Image_3411.jpg,"1165,2451,1426,2684,",Lute (3394)
135,Image_4266.png,"209,582,311,700,",Fiddle (3142)
136,Image_5173.png,"823,941,895,979,",Fiddle (3142)
137,Image_2282.jpg,"3211,1037,4155,2162,",Horn (4118)
138,Image_2282.jpg,"3211,1037,4155,2162,",Chamber organ (5769)
139,Image_2282.jpg,"450,686,2667,2722,",Horn (4118)
140,Image_2282.jpg,"450,686,2667,2722,",Chamber organ (5769)
141,Image_1874.png,"719,413,995,552,",Fiddle (3142)
142,Image_4609.jpg,"315,438,466,594,",Rebec  (3202)
143,Image_5729.png,"693,380,938,797,",Harp (3285)
144,Image_4778.jpg,"335,1394,957,1609,",Transverse flute (4093)
145,Image_4000.jpg,"2214,2976,2988,4429,",Fiddle (3142)
146,Image_3163.jpg,"41,702,1878,2214,",Bagpipe (3746)
147,Image_5442.jpg,"1161,1879,2196,2326,",Guitar (3237)
148,Image_2241.jpg,"1777,1417,2422,2067,",Lute (3394)
149,Image_2241.jpg,"1777,1417,2422,2067,",Shawm (4258)
150,Image_2241.jpg,"1777,1417,2422,2067,",Transverse flute (4093)
151,Image_2241.jpg,"1597,1423,1922,2352,",Lute (3394)
152,Image_2241.jpg,"1597,1423,1922,2352,",Shawm (4258)
153,Image_2241.jpg,"1597,1423,1922,2352,",Transverse flute (4093)
154,Image_2241.jpg,"737,1905,1521,2062,",Lute (3394)
155,Image_2241.jpg,"737,1905,1521,2062,",Shawm (4258)
156,Image_2241.jpg,"737,1905,1521,2062,",Transverse flute (4093)
157,Image_3336.jpg,"1027,1671,1636,2149,",Flute (3955)
158,Image_1063.jpg,"1051,1547,1636,2238,",Violin (3573)
159,Image_4257.jpg,"1116,1559,1600,2214,",Violin (3573)
160,Image_2327.jpg,"222,192,458,436,",Harpsichord (2251)
161,Image_2327.jpg,"222,192,458,436,",Violin (3573)
162,Image_2327.jpg,"222,192,458,436,",Violoncello (3582)
163,Image_2327.jpg,"812,352,906,454,",Harpsichord (2251)
164,Image_2327.jpg,"812,352,906,454,",Violin (3573)
165,Image_2327.jpg,"812,352,906,454,",Violoncello (3582)
166,Image_2327.jpg,"189,405,299,546,",Harpsichord (2251)
167,Image_2327.jpg,"189,405,299,546,",Violin (3573)
168,Image_2327.jpg,"189,405,299,546,",Violoncello (3582)
169,Image_2327.jpg,"386,26,639,339,",Harpsichord (2251)
170,Image_2327.jpg,"386,26,639,339,",Violin (3573)
171,Image_2327.jpg,"386,26,639,339,",Violoncello (3582)
172,Image_322.jpg,"189,10,420,359,",Violoncello (3582)
173,Image_5493.jpg,"947,235,1914,1786,",Violin (3573)
174,Image_3949.jpg,"2408,2273,2700,5343,",Harp (3285)
175,Image_1894.jpg,"2354,1441,3402,1834,",Transverse flute (4093)
176,Image_1894.jpg,"2354,1441,3402,1834,",Lute (3394)
177,Image_1894.jpg,"2354,1441,3402,1834,",Violoncello (3582)
178,Image_1894.jpg,"2354,1441,3402,1834,",Harp (3285)
179,Image_1894.jpg,"1464,653,2764,1189,",Transverse flute (4093)
180,Image_1894.jpg,"1464,653,2764,1189,",Lute (3394)
181,Image_1894.jpg,"1464,653,2764,1189,",Violoncello (3582)
182,Image_1894.jpg,"1464,653,2764,1189,",Harp (3285)
183,Image_1894.jpg,"913,7,1456,1748,",Transverse flute (4093)
184,Image_1894.jpg,"913,7,1456,1748,",Lute (3394)
185,Image_1894.jpg,"913,7,1456,1748,",Violoncello (3582)
186,Image_1894.jpg,"913,7,1456,1748,",Harp (3285)
187,Image_1894.jpg,"3110,196,3693,1716,",Transverse flute (4093)
188,Image_1894.jpg,"3110,196,3693,1716,",Lute (3394)
189,Image_1894.jpg,"3110,196,3693,1716,",Violoncello (3582)
190,Image_1894.jpg,"3110,196,3693,1716,",Harp (3285)
191,Image_2773.jpg,"1749,994,2760,2406,",Harp (3285)
192,Image_1863.jpg,"1732,467,2392,1379,",Lute (3394)
193,Image_1863.jpg,"1732,467,2392,1379,",Violin (3573)
194,Image_1863.jpg,"1732,467,2392,1379,",Violoncello (3582)
195,Image_1863.jpg,"1228,1715,1876,2225,",Lute (3394)
196,Image_1863.jpg,"1228,1715,1876,2225,",Violin (3573)
197,Image_1863.jpg,"1228,1715,1876,2225,",Violoncello (3582)
198,Image_1863.jpg,"1650,918,2471,1725,",Lute (3394)
199,Image_1863.jpg,"1650,918,2471,1725,",Violin (3573)
200,Image_1863.jpg,"1650,918,2471,1725,",Violoncello (3582)
201,Image_1863.jpg,"1506,369,1938,1101,",Lute (3394)
202,Image_1863.jpg,"1506,369,1938,1101,",Violin (3573)
203,Image_1863.jpg,"1506,369,1938,1101,",Violoncello (3582)
204,Image_1863.jpg,"1644,68,2441,513,",Lute (3394)
205,Image_1863.jpg,"1644,68,2441,513,",Violin (3573)
206,Image_1863.jpg,"1644,68,2441,513,",Violoncello (3582)
207,Image_1863.jpg,"2170,287,2797,2379,",Lute (3394)
208,Image_1863.jpg,"2170,287,2797,2379,",Violin (3573)
209,Image_1863.jpg,"2170,287,2797,2379,",Violoncello (3582)
210,Image_2743.jpg,"68,207,68,207,",Positive organ (2268)
211,Image_4663.jpg,"1127,5,1734,963,",Harp (3285)
212,Image_2715.jpg,"3225,1762,3500,2095,",Bagpipe (3746)
213,Image_2715.jpg,"3225,1762,3500,2095,",Fiddle (3142)
214,Image_2715.jpg,"1776,1323,1975,1676,",Bagpipe (3746)
215,Image_2715.jpg,"1776,1323,1975,1676,",Fiddle (3142)
216,Image_2352.jpg,"626,984,923,1280,",Flute (3955)
217,Image_2352.jpg,"626,984,923,1280,",Bagpipe (3746)
218,Image_2352.jpg,"626,1117,1168,1762,",Flute (3955)
219,Image_2352.jpg,"626,1117,1168,1762,",Bagpipe (3746)
220,Image_3845.jpg,"1561,474,1742,613,",Nakers (2893)
221,Image_3845.jpg,"1561,474,1742,613,",End-blown trumpet (6556)
222,Image_3845.jpg,"1561,474,1742,613,",Lute (3394)
223,Image_3845.jpg,"1561,474,1742,613,",Portative organ (2267)
224,Image_3845.jpg,"1447,657,1901,863,",Nakers (2893)
225,Image_3845.jpg,"1447,657,1901,863,",End-blown trumpet (6556)
226,Image_3845.jpg,"1447,657,1901,863,",Lute (3394)
227,Image_3845.jpg,"1447,657,1901,863,",Portative organ (2267)
228,Image_3845.jpg,"-21,531,168,680,",Nakers (2893)
229,Image_3845.jpg,"-21,531,168,680,",End-blown trumpet (6556)
230,Image_3845.jpg,"-21,531,168,680,",Lute (3394)
231,Image_3845.jpg,"-21,531,168,680,",Portative organ (2267)
232,Image_3845.jpg,"168,584,489,846,",Nakers (2893)
233,Image_3845.jpg,"168,584,489,846,",End-blown trumpet (6556)
234,Image_3845.jpg,"168,584,489,846,",Lute (3394)
235,Image_3845.jpg,"168,584,489,846,",Portative organ (2267)
236,Image_5346.jpg,"3088,501,4366,1448,",Harpsichord (2251)
237,Image_5346.jpg,"3088,501,4366,1448,",Lute (3394)
238,Image_5346.jpg,"3180,1435,3799,2032,",Harpsichord (2251)
239,Image_5346.jpg,"3180,1435,3799,2032,",Lute (3394)
240,Image_2880.jpg,"3615,1494,4194,1914,",Lute (3394)
241,Image_2880.jpg,"3615,1494,4194,1914,",Violoncello (3582)
242,Image_2880.jpg,"3027,935,3543,1942,",Lute (3394)
243,Image_2880.jpg,"3027,935,3543,1942,",Violoncello (3582)
244,Image_146.jpg,"725,671,4114,2730,",Lute (3394)
245,Image_1870.jpg,"899,65,719,261,",End-blown trumpet (6556)
246,Image_1870.jpg,"711,269,995,104,",End-blown trumpet (6556)
247,Image_248.jpg,"283,131,375,243,",Shawm (4258)
248,Image_2979.jpg,"1589,616,1946,1165,",Bagpipe (3746)
249,Image_2979.jpg,"1589,616,1946,1165,",Flute (3955)
250,Image_2979.jpg,"1589,616,1946,1165,",Shawm (4258)
251,Image_2979.jpg,"1589,616,1946,1165,",Psaltery (3677)
252,Image_2979.jpg,"1589,616,1946,1165,",Fiddle (3142)
253,Image_2979.jpg,"231,1086,495,1335,",Bagpipe (3746)
254,Image_2979.jpg,"231,1086,495,1335,",Flute (3955)
255,Image_2979.jpg,"231,1086,495,1335,",Shawm (4258)
256,Image_2979.jpg,"231,1086,495,1335,",Psaltery (3677)
257,Image_2979.jpg,"231,1086,495,1335,",Fiddle (3142)
258,Image_2979.jpg,"891,1414,1253,1663,",Bagpipe (3746)
259,Image_2979.jpg,"891,1414,1253,1663,",Flute (3955)
260,Image_2979.jpg,"891,1414,1253,1663,",Shawm (4258)
261,Image_2979.jpg,"891,1414,1253,1663,",Psaltery (3677)
262,Image_2979.jpg,"891,1414,1253,1663,",Fiddle (3142)
263,Image_2979.jpg,"1604,1041,1872,1290,",Bagpipe (3746)
264,Image_2979.jpg,"1604,1041,1872,1290,",Flute (3955)
265,Image_2979.jpg,"1604,1041,1872,1290,",Shawm (4258)
266,Image_2979.jpg,"1604,1041,1872,1290,",Psaltery (3677)
267,Image_2979.jpg,"1604,1041,1872,1290,",Fiddle (3142)
268,Image_2979.jpg,"1406,865,1669,1298,",Bagpipe (3746)
269,Image_2979.jpg,"1406,865,1669,1298,",Flute (3955)
270,Image_2979.jpg,"1406,865,1669,1298,",Shawm (4258)
271,Image_2979.jpg,"1406,865,1669,1298,",Psaltery (3677)
272,Image_2979.jpg,"1406,865,1669,1298,",Fiddle (3142)
273,Image_2979.jpg,"879,1140,1513,1372,",Bagpipe (3746)
274,Image_2979.jpg,"879,1140,1513,1372,",Flute (3955)
275,Image_2979.jpg,"879,1140,1513,1372,",Shawm (4258)
276,Image_2979.jpg,"879,1140,1513,1372,",Psaltery (3677)
277,Image_2979.jpg,"879,1140,1513,1372,",Fiddle (3142)
278,Image_638.jpg,"157,357,1068,1217,",Pianoforte (2299)
279,Image_2583.jpg,"1649,421,2361,638,",Lute (3394)
280,Image_2583.jpg,"470,510,1311,754,",Lute (3394)
281,Image_3171.jpg,"385,569,569,766,",Psaltery (3677)
282,Image_3863.jpg,"-4,220,335,428,",Recorder (4039)
283,Image_3088.jpg,"324,645,414,752,",Panpipe (4024)
284,Image_3088.jpg,"324,645,414,752,",Tambourine (2746)
285,Image_3088.jpg,"849,862,944,998,",Panpipe (4024)
286,Image_3088.jpg,"849,862,944,998,",Tambourine (2746)
287,Image_5069.jpg,"1351,2741,2202,3591,",Fiddle (3142)
288,Image_5552.jpg,"1034,807,2151,2688,",Bagpipe (3746)
289,Image_5552.jpg,"1006,2887,1006,2887,",Bagpipe (3746)
290,Image_3123.jpg,"2546,-19,3585,921,",Bagpipe (3746)
291,Image_3123.jpg,"2546,-19,3585,921,",Lute (3394)
292,Image_3123.jpg,"2546,-19,3585,921,",Shawm (4258)
293,Image_3123.jpg,"3386,179,4000,1546,",Bagpipe (3746)
294,Image_3123.jpg,"3386,179,4000,1546,",Lute (3394)
295,Image_3123.jpg,"3386,179,4000,1546,",Shawm (4258)
296,Image_3123.jpg,"751,169,1564,837,",Bagpipe (3746)
297,Image_3123.jpg,"751,169,1564,837,",Lute (3394)
298,Image_3123.jpg,"751,169,1564,837,",Shawm (4258)
299,Image_1439.jpg,"739,245,1375,1160,",Bagpipe (3746)
300,Image_5526.jpg,"541,508,721,699,",Shawm (4258)
301,Image_5526.jpg,"541,508,721,699,",Tambourine (2746)
302,Image_5526.jpg,"103,699,232,843,",Shawm (4258)
303,Image_5526.jpg,"103,699,232,843,",Tambourine (2746)
304,Image_4521.jpg,"1040,189,1496,1144,",Violoncello (3582)
305,Image_249.jpg,"452,848,588,1025,",End-blown trumpet (6556)
306,Image_5101.jpg,"1074,1110,1288,1424,",Flute (3955)
307,Image_5101.jpg,"984,1016,1265,1201,",Flute (3955)
308,Image_880.jpg,"1237,2181,1237,2181,",Organ (2266)
309,Image_880.jpg,"1237,2181,1237,2181,",Trumpet  (4446)
310,Image_880.jpg,"1237,2181,1237,2181,",Natural trumpet (4419)
311,Image_880.jpg,"2608,2194,3023,2403,",Organ (2266)
312,Image_880.jpg,"2608,2194,3023,2403,",Trumpet  (4446)
313,Image_880.jpg,"2608,2194,3023,2403,",Natural trumpet (4419)
314,Image_1923.png,"356,150,1233,1217,",Lute (3394)
315,Image_4627.jpg,"1227,1490,1932,2636,",Flute (3955)
316,Image_4109.jpg,"1328,1867,2937,2617,",Lute (3394)
317,Image_5747.jpg,"4746,-29,5994,2759,",Shawm (4258)
318,Image_5747.jpg,"4746,-29,5994,2759,",Lira da braccio (3181)
319,Image_5747.jpg,"2976,322,4593,2783,",Shawm (4258)
320,Image_5747.jpg,"2976,322,4593,2783,",Lira da braccio (3181)
321,Image_4334.jpg,"4065,1301,4520,1938,",Cymbals (2451)
322,Image_5611.jpg,"2852,1484,3880,2107,",Double flute  (3930)
323,Image_5611.jpg,"2852,1484,3880,2107,",Violoncello (3582)
324,Image_5611.jpg,"1753,160,2672,1304,",Double flute  (3930)
325,Image_5611.jpg,"1753,160,2672,1304,",Violoncello (3582)
326,Image_1370.jpg,"2678,1333,2678,1333,",Double flute  (3930)
327,Image_1370.jpg,"2678,1333,2678,1333,",Panpipe (4024)
328,Image_1370.jpg,"1686,1388,2533,2266,",Double flute  (3930)
329,Image_1370.jpg,"1686,1388,2533,2266,",Panpipe (4024)
330,Image_5428.jpg,"3689,610,4387,1583,",Violoncello (3582)
331,Image_5428.jpg,"3689,610,4387,1583,",Panpipe (4024)
332,Image_5428.jpg,"3260,1931,3608,2428,",Violoncello (3582)
333,Image_5428.jpg,"3260,1931,3608,2428,",Panpipe (4024)
334,Image_1372.jpg,"1622,1069,1931,1744,",Wind instruments (3730)
335,Image_1372.jpg,"1622,1069,1931,1744,",Harp (3285)
336,Image_1372.jpg,"1978,972,2283,1527,",Wind instruments (3730)
337,Image_1372.jpg,"1978,972,2283,1527,",Harp (3285)
338,Image_191.jpg,"2501,1816,2982,2876,",Shawm (4258)
339,Image_191.jpg,"2501,1816,2982,2876,",Lira da braccio (3181)
340,Image_191.jpg,"1839,1927,2490,2935,",Shawm (4258)
341,Image_191.jpg,"1839,1927,2490,2935,",Lira da braccio (3181)
342,Image_5469.jpg,"1913,1169,2521,2271,",Bagpipe (3746)
343,Image_329.jpg,"1078,23,5343,3398,",Organ (2266)
344,Image_329.jpg,"1078,23,5343,3398,",Flute (3955)
345,Image_329.jpg,"1078,23,5343,3398,",End-blown trumpet (6556)
346,Image_329.jpg,"1078,23,5343,3398,",Horn (4118)
347,Image_329.jpg,"3187,1457,3292,1608,",Organ (2266)
348,Image_329.jpg,"3187,1457,3292,1608,",Flute (3955)
349,Image_329.jpg,"3187,1457,3292,1608,",End-blown trumpet (6556)
350,Image_329.jpg,"3187,1457,3292,1608,",Horn (4118)
351,Image_329.jpg,"887,681,1092,787,",Organ (2266)
352,Image_329.jpg,"887,681,1092,787,",Flute (3955)
353,Image_329.jpg,"887,681,1092,787,",End-blown trumpet (6556)
354,Image_329.jpg,"887,681,1092,787,",Horn (4118)
355,Image_329.jpg,"2531,2150,2692,2408,",Organ (2266)
356,Image_329.jpg,"2531,2150,2692,2408,",Flute (3955)
357,Image_329.jpg,"2531,2150,2692,2408,",End-blown trumpet (6556)
358,Image_329.jpg,"2531,2150,2692,2408,",Horn (4118)
359,Image_329.jpg,"3202,2440,3433,2645,",Organ (2266)
360,Image_329.jpg,"3202,2440,3433,2645,",Flute (3955)
361,Image_329.jpg,"3202,2440,3433,2645,",End-blown trumpet (6556)
362,Image_329.jpg,"3202,2440,3433,2645,",Horn (4118)
363,Image_329.jpg,"4048,3052,4344,3234,",Organ (2266)
364,Image_329.jpg,"4048,3052,4344,3234,",Flute (3955)
365,Image_329.jpg,"4048,3052,4344,3234,",End-blown trumpet (6556)
366,Image_329.jpg,"4048,3052,4344,3234,",Horn (4118)
367,Image_329.jpg,"2175,2316,2366,2449,",Organ (2266)
368,Image_329.jpg,"2175,2316,2366,2449,",Flute (3955)
369,Image_329.jpg,"2175,2316,2366,2449,",End-blown trumpet (6556)
370,Image_329.jpg,"2175,2316,2366,2449,",Horn (4118)
371,Image_83.jpg,"977,340,1963,892,",Lute (3394)
372,Image_83.jpg,"977,340,1963,892,",Vihuela  (3252)
373,Image_83.jpg,"977,340,1963,892,",Violin (3573)
374,Image_83.jpg,"684,100,1163,1136,",Lute (3394)
375,Image_83.jpg,"684,100,1163,1136,",Vihuela  (3252)
376,Image_83.jpg,"684,100,1163,1136,",Violin (3573)
377,Image_83.jpg,"1055,792,1808,1225,",Lute (3394)
378,Image_83.jpg,"1055,792,1808,1225,",Vihuela  (3252)
379,Image_83.jpg,"1055,792,1808,1225,",Violin (3573)
380,Image_83.jpg,"527,200,821,645,",Lute (3394)
381,Image_83.jpg,"527,200,821,645,",Vihuela  (3252)
382,Image_83.jpg,"527,200,821,645,",Violin (3573)
383,Image_2060.jpg,"725,368,1551,1753,",Lyre guitar (3247)
384,Image_2916.jpg,"421,618,771,987,",Bagpipe (3746)
385,Image_2634.jpg,"2605,2062,3045,2775,",Frame drum (2598)
386,Image_3049.jpg,"1370,407,1728,659,",Cylindrical drum (2532)
387,Image_3049.jpg,"1370,407,1728,659,",Lute (3394)
388,Image_3049.jpg,"387,724,647,1216,",Cylindrical drum (2532)
389,Image_3049.jpg,"387,724,647,1216,",Lute (3394)
390,Image_209.jpg,"305,686,534,843,",Natural trumpet (4419)
391,Image_4988.jpg,"1715,1084,1747,1210,",End-blown trumpet (6556)
392,Image_4988.jpg,"1715,1084,1747,1210,",Harp (3285)
393,Image_4988.jpg,"1659,1050,1711,1193,",End-blown trumpet (6556)
394,Image_4988.jpg,"1659,1050,1711,1193,",Harp (3285)
395,Image_4988.jpg,"942,1397,1046,1510,",End-blown trumpet (6556)
396,Image_4988.jpg,"942,1397,1046,1510,",Harp (3285)
397,Image_4988.jpg,"606,1088,701,1239,",End-blown trumpet (6556)
398,Image_4988.jpg,"606,1088,701,1239,",Harp (3285)
399,Image_4988.jpg,"841,1105,932,1218,",End-blown trumpet (6556)
400,Image_4988.jpg,"841,1105,932,1218,",Harp (3285)
401,Image_4988.jpg,"824,981,957,1096,",End-blown trumpet (6556)
402,Image_4988.jpg,"824,981,957,1096,",Harp (3285)
403,Image_3140.jpg,"2244,1458,3532,2949,",Organ (2266)
404,Image_3140.jpg,"2244,1458,3532,2949,",Horn (4118)
405,Image_3140.jpg,"2244,1458,3532,2949,",End-blown trumpet (6556)
406,Image_3140.jpg,"3363,1924,3455,2019,",Organ (2266)
407,Image_3140.jpg,"3363,1924,3455,2019,",Horn (4118)
408,Image_3140.jpg,"3363,1924,3455,2019,",End-blown trumpet (6556)
409,Image_3140.jpg,"2204,1891,2394,2006,",Organ (2266)
410,Image_3140.jpg,"2204,1891,2394,2006,",Horn (4118)
411,Image_3140.jpg,"2204,1891,2394,2006,",End-blown trumpet (6556)
412,Image_3140.jpg,"3075,2558,3315,2690,",Organ (2266)
413,Image_3140.jpg,"3075,2558,3315,2690,",Horn (4118)
414,Image_3140.jpg,"3075,2558,3315,2690,",End-blown trumpet (6556)
415,Image_3140.jpg,"2391,2506,2605,2646,",Organ (2266)
416,Image_3140.jpg,"2391,2506,2605,2646,",Horn (4118)
417,Image_3140.jpg,"2391,2506,2605,2646,",End-blown trumpet (6556)
418,Image_3199.jpg,"2025,998,4269,2430,",Organ (2266)
